Date,Price,USD / MYR Price
10/19/2000,270.30,3.8
10/20/2000,270.50,3.8
10/23/2000,271.50,3.8
10/24/2000,270.20,3.8
10/25/2000,266.80,3.7999
10/26/2000,266.40,3.8
10/27/2000,263.80,3.8
10/30/2000,264.80,3.8
10/31/2000,264.50,3.8
11/1/2000,265.50,3.7999
11/2/2000,264.90,3.8
11/3/2000,264.70,3.8
11/6/2000,265.70,3.8
11/7/2000,265.50,3.8
11/8/2000,264.10,3.8
11/9/2000,264.70,3.8
11/10/2000,264.90,3.8
11/13/2000,264.90,3.8
11/14/2000,265.00,3.8
11/15/2000,264.60,3.8
11/16/2000,266.70,3.7999
11/17/2000,265.30,3.8
11/20/2000,266.20,3.7999
11/21/2000,266.20,3.7999
11/22/2000,266.20,3.8
11/23/2000,265.70,3.8
11/24/2000,265.60,3.8
11/27/2000,268.20,3.8
11/28/2000,270.00,3.8
11/29/2000,269.10,3.8
11/30/2000,269.10,3.8
12/1/2000,269.20,3.8
12/4/2000,270.70,3.8
12/5/2000,270.80,3.8
12/6/2000,271.60,3.8
12/7/2000,273.90,3.8
12/8/2000,273.00,3.8
12/11/2000,270.70,3.7999
12/12/2000,270.80,3.8
12/13/2000,269.60,3.8
12/14/2000,269.30,3.8
12/15/2000,270.40,3.8
12/18/2000,270.20,3.8
12/19/2000,269.60,3.8
12/20/2000,272.50,3.8
12/21/2000,273.10,3.8
12/22/2000,273.10,3.8
12/25/2000,273.10,3.8
12/26/2000,273.10,3.8
12/27/2000,275.10,3.8
12/28/2000,274.50,3.8
12/29/2000,274.50,3.8
1/1/2001,274.50,#N/A
1/2/2001,271.10,3.8
1/3/2001,267.20,3.8
1/4/2001,267.10,3.8
1/5/2001,267.40,3.8
1/8/2001,268.30,3.8
1/9/2001,267.00,3.8
1/10/2001,266.30,3.8
1/11/2001,264.20,3.8
1/12/2001,263.70,3.8
1/15/2001,263.50,3.8
1/16/2001,264.50,3.8
1/17/2001,263.50,3.8
1/18/2001,264.90,3.8
1/19/2001,264.90,3.8
1/22/2001,266.20,3.8
1/23/2001,266.10,3.8
1/24/2001,264.30,3.8
1/25/2001,264.90,3.8
1/26/2001,263.60,3.8
1/29/2001,262.90,3.8
1/30/2001,265.00,3.8
